userName,score,content,thumbsUpCount,at,replyContent,reviewId
Alice Barbosa,1,Muito chato odiei,0,2025-03-05 13:50:19,,378fa646-e6ff-42aa-95e3-83d68617a275
Sem Usuário,3,"Realmente em termos de organização parece ser bom, mas travou e não mexe mais, desinstalei.",0,2025-02-24 03:06:10,,d1c6b931-dc01-492d-aaa3-cb12f7447d0e
LoboDoArtiko,3,"É bom, mas está travando muito na hora de entrar, tem que tentar diversas vezes até dar certo",0,2025-02-20 22:14:43,,e81cc84b-2081-48f7-a1fa-852b39e864e0
Amanda,1,"O app tem potencial, simples de usar, sem muita ""poluição"" e propaganda..só q qdo a gente customiza a tarefa e salva, ela tende a voltar no zero...Desestimula até pg por ele, pq perdi um tempão customizando e gerou insegurança se vai manter o que fiz... (Se isso melhorar, dou as devidas estrelas )... P.s.: Voltei e tô é retirando + 1 estrela. Ele só piora..Agora, multiplicou as tarefas e pelo q li, são as mesmas queixas de anos aqui...O q era pra gerar praticidade, acaba gerando estresse :(",0,2025-01-10 09:18:54,,eb2269da-dcd2-4f61-9d6f-0ae3665b39f0
Adelcio Coutinho,5,A opção gratuita é muito boa e a paga está num valor bem acessível. Parabéns pelo app.,0,2024-10-28 23:52:49,,3ca8a895-02a4-4fb8-935e-618453256fdd
Bela,4,"Amei o aplicativo, é fácil de usar, e tem bons recursos! Poderia melhorar ainda mais se tivesse também um recursos para perda de estrelas, por exemplo, a criança xingou, então os pais registram o comportamento negativo, e ele teria uma punição, como exemplo, sem videogame e perde x estrelas. Dessa forma o aplicativo seria perfeito! Outo ponto também que seria muito interessante, poderia ter um campo para tarefas extras, fora da rotina, como ler um livro, ou algo a mais que a criança fizesse.",2,2024-10-18 10:01:15,,c5b30fb3-2752-431f-8a50-86a93b7250eb
LESSA GOMES SEGUROS,3,"Muito bom app. Sugestão de melhoria colocar, penalidades e essas descontar estrelas. Ele ganha por fazer coisas boas, mas perde por fazer coisas erradas.",0,2024-10-04 03:02:02,,9c644e92-68fd-408e-8115-05404412b6b8
Izabella Samico,5,"A proposta é muuuuuuito boa! Meu filho ficou animadíssimo com a ideia e é outra criança depois da rotina divertida! ❤️ O app apresenta falhas de sincronização. Compartilhei via código pro meu filho acompanhar a rotina pelo tablet dele, porém os áudios das tarefas que eu criei ficam errados (áudio de uma vai pra outra) e o saldo de estrelas tbm está diferente do meu celular (onde tudo aparece corretamente).",13,2024-09-27 12:54:11,,971f31eb-0837-4e02-a60b-fcf49549f34c
Jaque Orteney do Nascimento,5,Muito criativo e inclusivo,0,2024-09-25 21:08:20,,056a5b28-9627-4f54-ba8f-4b65cc15671b
Charleny Bueno,5,"Para autistas não verbais é ótimo, meu filho é grau 3 não verbal em português, fala tudo em outras línguas e está ajudando muito. Obg por pensar em nós, grata!",0,2024-09-13 23:42:07,,1807aa6c-7277-48b4-8777-dbe9bf4c084c
Yngridy Victória Souza Rezende dos Reis,5,Bom eu não sou autista porém tenho tdh e o app está me ajudando muito,1,2024-08-24 19:17:52,,183e2eff-e005-41cd-a19c-bacfd4df5005
Gilzete Santos,4,"O app é excelente! Precisa melhorar na atualização da quantidade de estrela, mesmo atualizando , sincronizando não atualiza.",1,2024-08-20 19:39:39,,104e27cf-f554-4e33-b59a-735e8400b6a1
Luana Ramalho,5,O app é ótimo e simples. Ponto de melhoria: opção de cadastrar sua própria categoria para as tarefas.,1,2024-08-04 11:06:28,,ae7d1f36-eb1e-46bb-8746-9abee1b634fa
Amanda Ferrareli,5,Ótimo,0,2024-08-01 15:46:44,,92ec25d8-7393-474c-a87b-56374080e620
Evilin Matos,5,é muito bom a minha filha ama eu gostei tem muita educação é bom ensina muitas coisas eu gostei muito 5 🌟🌟🌟🌟🌟,0,2024-07-30 05:54:30,,505debae-d63d-4e72-af0d-b0427b9701cb
Chris Annes,3,"O app é incrível. Mas perdeu as duas estrelinhas por duas situações importantes a serem modificadas. A 1ª é a questão da segurança dos dados. Eu coloquei a entrada de segurança com a biometria. Porém, se clicar em cancelar, aparece uma pergunta: quanto é 2+2. Aí ele desbloqueia. A 2ª é que às vezes a gente esquece de atualizar no dia certo. Se atualizar no dia seguinte nas configurações, as 🌟 não atualizam. Além disso, deixo +1 sugestão: uma versão p/ o celular dos filhos, conectado ao nosso.",62,2024-07-06 21:55:32,,f42f4d38-a8bf-4517-9bc7-d65b1d477a44
Gabrielle Souza,3,"O aplicativo é bom, porém os horários só entra do 1 a 12 , não tem horários como 20,21,22 mesmo alterando não entra. Eai as atividades ficam confusas no horário.",1,2024-06-27 13:57:31,,b4c8d8ac-006d-4abb-8eb6-41d76242b952
Janine Silva,1,Achei interessante mas durante o uso não consegui acompanhar. Tentei cancelar a assinatura anual com valor proporcional e não consegui.,0,2024-05-06 21:01:35,Entendo sua frustração. O reembolso segue as políticas do Google Play e deve ser solicitado diretamente pela loja. Entre em contato pelo nosso email para ver se conseguimos que ajudar com o reembolso. Obrigado.,fa084451-8910-43d6-9a98-34006e0b9589
Jesus cura você,5,"Esse app está ajudando muito minha filha a falar, ela tem tea.",0,2024-04-04 02:26:21,Ficamos muito felizes em saber que o app está ajudando sua filha a falar! É gratificante saber que estamos fazendo a diferença na vida de quem tem TEA. Obrigado por compartilhar sua experiência!,683d1ccd-2d10-4862-8bc9-4161cce884c1
Janizete Caldas,5,Oi não tenho nada pra falar mais o app e ótimo vocês sãos uns gênios mais também você merecem um Oscar 👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👍,0,2024-02-29 17:25:06,"Olá! Ficamos extremamente felizes com seu feedback e agradecemos imensamente o reconhecimento. Saber que o Rotina Divertida está fazendo a diferença é o que nos motiva a continuar trabalhando duro para oferecer o melhor apoio possível. Se houver algo mais que gostaria de ver no app ou qualquer sugestão, por favor, não hesite em nos contar.",db69b2bb-2386-4bfb-b9c9-cf35b906112b
Binho Leal,5,Muito prático e me ajuda bastante com minhas tarefas do dia!,0,2024-02-22 20:21:53,"Que bom saber que o Rotina Divertida está ajudando nas suas tarefas diárias! Agradecemos o feedback positivo e estamos aqui para tornar sua rotina ainda mais prática e eficiente. Se tiver sugestões, estamos à disposição!",0da385c8-13d6-4b7e-a810-6ad7ebaf8d9d
David Nunes,5,Excelente...,0,2024-02-17 02:05:49,Agradecemos muito o seu feedback! Ficamos felizes que você esteja tendo uma experiência excelente com o Rotina Divertida. Estamos sempre trabalhando para melhorar e sua satisfação é nossa maior recompensa!,2451b9cd-67dd-43a9-b1ff-81ef6d003d60
Lilian Boanafina,4,Gostaria de saber se esse App serve para adolescente autista nível 1?,0,2024-02-16 22:49:31,"Sim, o Rotina Divertida é projetado para auxiliar pessoas de todas as idades com TEA, incluindo adolescentes autistas nível 1. Suas funcionalidades personalizáveis são ideais para adaptar rotinas e atividades às necessidades específicas de cada usuário.",3bedfe61-8676-4433-ab02-48497794fcde
Jefferson R. Lima,5,"O aplicativo é bem simples, ele consegue auxiliar o autista a estabelecer as suas tarefas de forma fácil e precisa com ajuda deste aplicativo, incrível!",0,2024-02-11 16:52:53,Ficamos muito felizes em saber que o aplicativo tem sido eficaz em ajudar a estabelecer tarefas de forma fácil e precisa. A simplicidade e eficiência são prioridades para nós. Obrigado pelo seu feedback incrível!,f6b63af2-d502-40e8-9376-860e97c0bcac
Leila Cabral,4,Mto interessante o app só deu pau quando tentei add mais de uma tarefa personalizada.,0,2024-02-05 01:53:37,Agradecemos o feedback e lamentamos o inconveniente. Estamos constantemente trabalhando para melhorar o app. Vamos investigar essa questão para garantir uma experiência mais estável. Obrigado por nos informar!,152c88e3-8a61-423c-bbdc-9242969b14a0
Pamella Barros,3,"Olá, eu comprei a versão pro do APP, as vezes funciona as vezes trava e os botões ficam sem ação, e o APp fica piscando. Tirando isso estou gostando. Sugestões: criar uma categoria para recompensas (lazer), possibilidade de tarefas extras para ganhar mais estrelas, colocar data de início e fim para a rotina, exemplo escola não é o ano todo.",5,2024-01-25 07:13:39,"Olá Pamella,obrigado pelo seu feedback. Sobre as sugestões, estamos avaliando a opção para o período das tarefas. Sobre a categoria de recompensa, vamos avaliar também. E sobre o problema que está ocorrendo, poderia enviar uma e-mail para phaneronsoft@gmail.com com mais detalhes para que possamos analisar? Muito obrigado!",fe41594e-a635-4ba0-bdc7-3d58090db223
Juliana Ribeiro,5,"App muito bom, mas não estou conseguindo fazer a assinatura",0,2023-12-01 10:05:55,"Que bom que está gostando do app! Lamentamos o problema com a assinatura. Podemos ajudar a solucionar isso. Por favor, tente atualizar o app para a versão mais recente ou entre em contato conosco diretamente para assistência. Estamos aqui para ajudar!",87cb3bbc-3910-43f3-9950-823fa2a6dae9
Stefany domingues,5,"Gostei bastante do App, gostaria de fazer a assinatura para incluir minha outra filha, porém não está dando certo. Se puderem me ajudar nisso agradeço.",3,2023-11-23 20:32:50,"Para utilizar o app com outro usuário, é necessário criar um código de acesso. Vá em configurações, depois em ""Gerar Código de Acesso"", selecione o perfil desejado e clique em ""Gerar Código de Acesso"". Copie o código gerado. No celular da sua filha, na tela de login, clique no botão azul ""Código de acesso"" e insira o código copiado.",0b168c39-3c15-4cb8-919e-776997f97e7f
Ariele Alavares,5,Amo este aplicativo,0,2023-11-17 18:46:39,Agradecemos muito o carinho! Ficamos felizes que você esteja amando o app. Sua satisfação é nossa maior motivação! 🌟😊,34fa0e0c-bece-47f3-9dfa-58f33e46790b
Audrey Ximendes Duarte,5,Muito bom,0,2023-11-08 22:34:46,"Ficamos muito felizes com sua avaliação de 5 estrelas e que você achou o app muito bom! Se tiver sugestões ou ideias para torná-lo ainda melhor, estamos abertos a ouvir. Agradecemos seu apoio e confiança!",015125ec-f486-42a8-affb-91bf0d014b49
